Country,Variable,1960
Uganda,pop,7.693171291
Uganda,rgdpna,8153.619141
Uruguay,emp,0.899570286
Uruguay,pop,2.501522272
Uruguay,rgdpna,22656.42773
United States,emp,70.64601898
United States,pop,183.0890364
United States,rgdpna,3856027.5
Venezuela (Bolivarian Republic of),emp,2.339647293
Venezuela (Bolivarian Republic of),pop,7.998838678
Venezuela (Bolivarian Republic of),rgdpna,3167.764893
South Africa,emp,8.095932961
South Africa,pop,17.06438353
South Africa,rgdpna,133547.7344
Zambia,emp,1.024943113
Zambia,pop,3.307655904
Zambia,rgdpna,8121.671387
Zimbabwe,emp,1.328616142
Zimbabwe,pop,3.793736697
Zimbabwe,rgdpna,5947.669434
